mse_base,mse_prop
1.3142302,1.6602032
0.5751588,0.363166
0.39796907,1.8478359
0.99654454,0.6715709
1.5485815,1.4435953
2.5866547,0.8433636
1.2639647,1.0512618
0.36455742,0.6469991
0.42859486,1.7862659
0.536706,2.14085
0.48475996,1.8556855
0.5757122,1.0551418
0.49876833,0.041915208
0.8538594,0.2000277
0.8836946,2.0567057
0.5408285,0.543095
0.023957051,1.2429498
1.8085995,1.6484243
3.3384652,0.9351099
1.0435278,1.0003674
1.5143816,1.3488679
0.7523368,0.58717465
0.8119187,0.8793251
0.47587666,1.1580938
1.9658561,2.4165375
1.2070013,0.67548
0.6434487,0.71555483
0.4728466,0.045134053
1.1086239,3.516317
1.163938,1.4886407
2.9313319,0.6477274
0.019465875,1.2926427
1.0654923,1.4347283
0.5633076,1.5824494
1.4098433,0.20238593
1.6964302,1.7265655
0.61270255,1.5260363
1.5540752,2.2671487
1.0778897,1.7616605
0.9369548,1.2950125
1.0217186,0.1605155
1.2529747,1.6910874
1.8204267,1.4226893
1.4267828,0.77294636
1.2846138,1.8800424
0.058852326,0.9947693
0.6008253,0.96353585
0.57135946,0.7009557
1.0586748,0.5683592
2.1536603,0.4537644
1.7105814,0.598939
1.3906319,0.8118787
1.33756,1.0798712
0.37762713,0.6932558
0.68777627,1.1221279
2.3859613,0.3456848
0.7357413,0.32157484
1.2845786,1.801037
1.4493021,2.5885756
0.021996446,0.76120836
1.1800557,0.805501
1.907741,3.563821
0.17575815,0.38944107
1.8100497,1.4320408
0.5309572,0.360048
1.626679,0.3613637
0.45816088,1.9344196
0.6595814,1.4543712
1.8699212,1.4073944
0.1291427,3.1538682
1.0597041,0.5712825
1.3918749,1.0937424
0.72163546,0.08797502
0.4232715,0.4355836
1.6642799,1.1564002
1.143972,0.06494621
1.0392865,0.32803613
0.7344675,0.5180573
0.7028299,0.58986115
0.92450684,1.0240527
0.80693525,0.06675501
1.792735,2.286199
0.12452104,0.8012894
1.137389,1.437137
1.1351845,0.19264352
0.31071743,0.4803936
1.5006659,1.5847466
0.50850374,0.86607265
0.45079166,2.7509518
0.44328457,1.0747073
1.1520367,2.192997
2.3109858,2.374213
0.049346935,0.4422067
0.6835486,0.48810196
1.6545595,2.300195
2.1268992,2.0114481
1.3792427,0.7150338
2.019498,2.8177655
1.1916837,0.009285523
0.47273037,1.6681986
0.45916203,0.67050713
0.40616208,1.7675135
0.48000297,0.8853661
1.1965342,1.7036296
0.16932607,0.50136936
1.6974603,1.6299022
0.12019698,0.37143227
1.2854474,0.642815
1.2670836,0.09238702
0.5479397,0.73836344
0.45221704,1.1080825
1.8257569,1.1344601
0.41171566,1.539306
1.0259713,0.9619691
1.287951,1.3636452
0.4496248,1.172289
0.5321507,0.78008103
0.2645269,0.042040147
0.07220757,1.3993008
1.1892368,0.7109035
3.0341575,0.9867493
1.0686356,0.15744632
1.2864238,1.5706972
0.22242408,0.8537089
3.0745258,1.0695299
1.2044964,0.6464819
1.5220587,1.4338605
0.6954678,1.0479966
1.2593404,1.4571763
0.541892,1.1109374
2.0969315,1.437521
4.2447433,2.3126047
0.1922681,1.9342788
2.1585371,1.9295317
0.18951356,0.536556
0.21835041,0.8363783
0.6527232,0.0839623
0.8786919,1.9971461
1.1483778,1.8820524
1.0322498,0.58102703
0.879787,0.07181887
2.2453945,0.96676224
1.5622793,1.8635333
1.2208803,0.074253246
0.5441943,0.4977107
2.0345879,1.2064054
0.5605127,1.3764442
0.7906442,1.1507474
0.30958468,3.1305757
0.053631138,1.0288962
0.8417929,0.4269811
1.1967702,1.4178752
0.5055315,1.0741736
0.547737,0.8697832
2.522149,1.5356992
0.40973523,1.7864145
0.99306345,2.1122897
1.8628343,2.265126
0.08670381,0.11591135
0.55529237,0.4083541
1.2654008,0.7113968
1.6428615,2.2471092
0.5631102,2.48504
0.14438523,0.01688955
0.61072564,0.5327617
0.16643539,0.42398
1.0795447,0.47530508
0.83617795,0.50729465
0.0038156428,0.8693652
0.06451111,1.204231
1.4554724,1.146071
0.9563067,0.97044927
1.3080057,0.42431054
0.3025758,0.5951098
1.3774941,2.1021125
0.46686798,2.0796597
2.5527945,1.1469136
0.63817614,0.8573949
1.1431342,1.0736625
1.8916637,0.20891085
0.9123343,0.7586107
1.4751154,0.21853852
0.9149108,1.7852077
0.43053535,0.79489046
1.1354684,0.41040498
2.1850932,2.4445586
0.3104571,0.6830334
0.6800932,0.71152925
0.72748584,0.033175033
1.7543904,1.5621444
0.19758323,0.8995263
0.53837174,0.9526739
0.5892746,1.2660657
0.16389638,0.48717532
0.064654514,0.28256452
0.17224844,0.46304718
0.039444935,0.066287845
0.71185035,2.143057
1.1850401,1.5145087
2.2075872,1.2162387
0.86006737,2.557912
3.2993653,0.46449885
2.014237,2.5018797
0.095255636,0.314963
1.1019003,1.3819168
3.0233498,0.36591065
0.21206063,0.34685317
1.0206206,1.0414193
1.228435,0.08440406
0.07271878,1.3850855
2.8599439,2.5548682
1.1948391,1.3374846
0.54286164,0.32158613
0.9915828,2.2361338
1.1074584,1.5794812
